Post,Label
"My boyfriend hit me again this am due to my smart mouth. Why can’t I just keep my mouth shut? I keep antagonizing him. It’s all my fault really.  
He’s hit 8 times and spit on 5. He verbally & emotionally abuses me but he says I do all that to him & he’s just responding to what I say. 
He’s been pushing me away. My friends are over an hour to see. His friends are 10 min away and he tells me to get a life. He wants more time with friends and he says I’m up his ass all the time. I don’t make friends easily and tend to be alone with my major depressive disorder. That makes it worse. He wants to hang out with his mom & best friend. Really?! 
My heart is in so much pain I cry all the time or become livid. If I kept my mouth shut this wouldn’t happen. 
Oddly enough I love him. I’ve NEVER dealt with anyones shit in a relationship. Why now Is beyond me. Plus when we fight he won’t have sex with me. We rarely do and it’s almost 2 years together. 
This makes me feel so ugly, fat, worthless, alone, livid, unloved and feel that people really don’t care. 
We have 2 puppies and I can’t leave or I will lose them forever. I would rather make sure my pups are ok & deal with this. Besides my pain is too much to deal with anymore.",1
"I am having the worst panic attack. Long story short. After 2 and a half years of being away from my abuser, and 2 years of therapy to get over what he did to me and zero contact from him he is back in the picture. We have a 4 year old son. He has not seen him in 2 and a half years since I left. He didn't even try to see him at all. Fast forward 2 and a half years he wants custody. He was granted supervised visitations. They start next week. I am the one that has to supervise! He has no family here for anyone to supervise so the court left it to me. I CAN NOT be around that man. The court in my county does not offer any type of court appointed people to supervise. I'm shaking and feel sick. He almost killed me many times. He went to jail for a year for strangling me and cutting me on my neck with a knife. I needed 20 stitches. My lawyer thinks this is bullshit so I trying to figure out a different plan. The court system makes 100 percent no sense.",1
"Hi Ladies , I have recieved a letter from my abusive ex’s attorney who is already on IVO requesting parenting arrangments prefered to have his kid over for few hours on weekends. In previous arrangments with myself he wasn’t safe and used his manipulation tactics. So he’s reaching out to me with attorney’s now. 
Has anyone been in similar situation?
Any advice would be appreciated",1
"Hi. I am really struggling. First time I’ve posted in this group but looking for support. Just about two weeks ago I pressed charges against my husband for sexual assault. There’s a no contact order in place. And all our mutual friends have shut me out.I am having a really hard time with dealing. I love the guy. Yes, he hurt me. Yes, he’s abusive. Yes, I’m safe now. And I understand that. But I love him deeply. We have a son together. We built a family. And now to not be able to see him, talk to him, explain anything. It’s breaking me in half. The physical pain and agony I am in overwhelms any of the thoughts I have or could have. I am unable to eat. Unable to sleep. Struggling to take care of my son on my own. As well as our dog. I hate this. Everybody says that it will be hard. But everything seems impossible! Nobody said anything about the physical agony of all of this. How everybody would leave or just not talk to you because there is the law involved now.",1
 I’m literally shaking right now. He wants to talk. He wants to discuss the abuse without arguing even though he’s said it’s not abuse or DV. Do I let him say his peace and risk being hurt but also get more validation that I’m making the right choice? I just don’t know that I’m strong enough to not start defending myself or justifying my reaction.,1
"I’m meeting with an attorney for the first time this morning. I’m scared that I won’t have the courage to do what I know needs to be done. I think the biggest piece is filing for a divorce and a restraining order. I feel like I’m going to hurt him because he doesn’t believe it’s abuse or domestic violence and because I love him so much when he’s not raging. I’m trying to remember that it’s the abusive part of him I’m protecting myself from and that once I file for divorce it’s likely he’ll turn from a loving spouse into the vindictive, angry person he’s shown several times in the past.The trauma bond is real and I just hope I can face my self doubts and choose to put myself first.Any words of encouragement for me this mornig",1
"Hi Everyone, I am new member here. This is not about me or my marriage, but this is about my Friend who lives in South Carolina and who is suffering from an emotional abuse by her husband for years now. Is there anyone who knows an agency that I can contact or a support group in that area to contact and report this abuse? My friend doesn't have access to a phone or internet all the time. She only contacts me when she can because her husband is very controlling. Besides, her husband did not paid their phone bills last month and their phone was disconnected. I don't know what to do as well. I want to help her, but I am too far away from her. All I can do is to report it to the right agency of domestic/emotional abused. Please I need some advice and if anyone is from Jacksonville, SC here. Thank you.",1
"Need some advice I just got married last month in Florida my husband lives in FL I live in North Dakota. I'm starting to think he married me for the wrong reasons. He never directly ask me for money he'll just keep telling me all the Bill's he has to pay I have helped him with Bill's in the past. He wants me to buy him a Dodge charger for his birthday in September . Since we got married he has hit me, disrespected me, called me bad names. It's like soon as we got married he changed please dont ask why because I dont know. He use to be so so sweet. Do you think he will change or should I just walk away.BTW I have my own everything house 2 cars and a good job he has given me nothing.",1
"Hi. 
I’m here because two days ago I was hit in the face  by my boyfriend in front of my kids while I was driving. Luckily I was able to stop the car and after struggling with him because he took my phone to stop me from calling the cops was able to get out of the car and stop other cars to get help. He ran after more people pulled over to see what happened.
Yesterday he was caught and was arrested and was found with heroin and drug paraphernalia on him. I’m so torn and my emotions are all over the place. I will be seeking out a therapist for me and my 5 year old daughter who was very close to my boyfriend. My eye is black and blue with a gash right below my eyebrow and a gash on my nose. My physical pain will heal but it will take some time for my emotional and mental pain to heal. It’s going to be a long process and hopefully I can get through this.
Thanks for listening.",1
Hello thank you for the add I joined the group not necessarily for me but my sister she is currently in a love-less mentality abusesive relationship as well as her son her partner doesn't care or love not only her but their son she recently came and visited Washington for 4 months and he told her to just stay gone but she wanted her son to finish his school year in California now he is telling her that she will never be able to leave with her son and she just wants out for both her and her sons best interest I know a lot of times you can't but was wondering if I could share a go fund a friend of hers made for her so she can divorce him and fight for custody and get out of this abusesive relationship,1
I had zoom meeting for court with my x abuser....seeing him hearing his voice.....made my survive mode kick in...can't sleep...my heart is racing...I haven't slept sound....nitemares every nite....he's states apart yet....just his voice sent me rite back to where it all began....so many memories...so much pain....I feel like I'm dying every nite wake gasping for air....God help me please...,1
"My physical pain is healing but I know I still have a long way to go emotionally and mentally. Every woman always thinks when they watch movies, tv shows, hear about other women being abused that “that will never be me.” I was with my boyfriend for less than a year but didn’t realize all the emotional and mental abuse he was doing until he got physical with me 3 days ago. He would always say the right things, act the right way and pull me back in. Not this time though. While he sits in jail I am here trying to heal the pain he caused me and my kids. Trying to get past all this pain while my heart is breaking because I did love him and I did want us to work out and him be a father to my kids. That all changed when he put his hands on me and sent me to the hospital. I go back to work tomorrow still with a black and blue eye and with healing scars. Trying to get my life back the way it was before him. I know it’ll get better but I wish I never had to experience this kind of pain",1
"After months of physical and emotional pain I am almost completely healed from my last surgery and my abuser was just finally sentenced to 10 years state prison. Honeslty I'm not sure how to even feel. After so many charges being dropped and negotiation going on forever, I'm left disappointed. Even though I know I should be grateful for any amount of time considering how many people don't get any justice at all. My plan was to go to see him being sentenced so I could say what I needed to say, hear him admit guilt and feel some sort of closure. I couldn't even face him because I feel jipped. Like he won again. We listened to it livestream and my mom cried, my sister cried and I just felt blah. Like with all the time taken off with good behavior he will be out in a few years and he'll just come after us again. How do I stop feeling so negative towards this? I want to celebrate that I'm finally free of him but I just don't feel anything. I do plan on bringing this up to my therapist later on today but I'd like to hear some thoughts. Has anyone else dealt with these types of emotions or lack there of?",1
I’m meeting with an attorney tomorrow to start the divorce process. He knows where I’m at (staying with friends in another state) and I’m afraid he’ll come after me. My fiends are moving at the end of the month so I was thinking of waiting until then. The only problem with that is I think he’s beginning to suspect I’m not coming back and might take action (either legal or destroying things)…he’s very calculating and so is his entire family so I could see them making moves quickly. Any advice on what the right path forward is?,1
New to the group this morning and I’m struggling with feelings of guilt and like I’m betraying my abusive spouse by leaving. I just can’t go back but I don’t know how to express that to him or if I even should. I’m recently separated and just going through a rollercoaster of emotions. Any words of wisdom?,1
The courts didn't even care about all the evidence. We (my small daughters and i) were denied protection and he has now began filing unlawful detainer. I am 34 weeks pregnant. How can he be getting away with this? What can I do?? We were unmarried but don't I have equitable rights or something? He cut off utilities as retaliation and even was in contempt of the stay away order. The system is sooo broken and I am so angry. This is the exact reason he is how he is. Because he knows he can get away with it!,1
I am a mom of 4 girls and I’m 35 years old. My current husband is the dad to 2 youngest girls. We have been together almost 13 years married almost 11. He used to be physically abusive to my kids and now not so much but very mentally and emotionally abusive. I’ve tried leaving and came back but now my girls and I are finally trying to get brave and leave. We are tired of being scared of him. And scared of wondering if he will get physical again. Any tips to stay brave??,1
I can really use some support tonight. I already left the abuser and he’s out but I had a baby- baby is his and he wants custody so I know the court will grant him at least some parenting time which means I will never truly be free from him. I’m hurt because my baby is so beautiful and people think what I went through is insignificant when he wants me dead. He strangled me so many times and told me how he was going to dispose of my dead body. I’m terrified and feel so alone and like no one understands what it’s like to have lived through domestic violence and to have a baby with one. There is no escaping.,1
I almost had him out and I ended up letting him talk about stuff. I had door locks changed. He was out on the streets afraid to come back because of the cops. I don't know why I let this happen. I feel fucking stupid. Like I forgot all the harm he has caused because he said he was done with the stuff he was doing. He did quit drinking over a year ago after jail. And that was a trigger. I have been jaded and felt trapped. I had him out and I was alone in my house. I am so embarrassed that I made moves to get him out and I let him right back in. What's wrong with me?,1
"I need words of encouragement more than ever…I’m not doing very well. As if breaking my nose 3 weeks ago wasn’t enough to leave him, I caught him still talking to the girl he was cheating on me with too. I cut him off and blocked him….I haven’t heard from him except once to let me know he would be with her. It’s been 3 days and I’m losing it. Losing myself and FAST",1
I think the hardest thing. is to actually leave. im currently in a relationship that's abusive.. he also broke my nose.. and im still hear.. I always tell myself the next time I will leave. Here I am with a 3 week old baby. Still debating if I should leave.. why does it feel as if im betraying him every time I think to leave.. its so much harder than people even know.,1
He did this bc I don't wanna have sex. I was sleeping. He made promises he was done drinking. He did good for a month and a half . The day I withdrew the order of protection He started drinking. He threatened me with videos hetook of me bawling after he's taken my child so I figured I would record what happens before I get to this point. I'm mentally done . I'm tired they didn't give me anything to protect me when I called my local safe harbors. I was unable to pay for food and necessity for my daughter because I wasn't home working. I just want my daughter safe but I don't want her taken from me .,1
I got in a domestic violence case back in February. Recently my abuser has been telling everyone a completely different story to make it out to seem like I’m the bad person. He is much more well known then me so he is trying to get everyone against me. And idk how to cope with it. Any advice for speaking my truth and how to properly tell my story? Or any advice in general?,1
So the other day he pushed me on the ground grabbed me by my neck and was calling me hoes and the B word. What do you do if someone has 3 pending charges against you ? But the court dates keep getting pushed back due to covid. Do you leave ? Or stay until you get him to drop the charges ? If I leave he won't drop the charges. I have a Med Tech License and soon getting my CNA and Med Aide. I can't use them if im found guilty. All the 3 charges are against him. I can't take this anymore. I'm literally burning up on the inside. The abuse i can't bear any more but I love Healthcare I'm very goal oriented.,1
"Just want to say I am completely sick and tired of the waking nightmares/thoughts/scenarios involving past abusers, my sister, who I haven't spoken to in 15yrs and all the heartache from it all. 
I drink so I can sleep and stop the thoughts but kids make me feel guilty so I don't drink then I get hammered with thoughts.
Just can't win",1
"Is anyone else just numb, like, they cant feel much or respond to much anymore? I cant rely on anger to make me leave because I dont really feel anything. If anger bubbles up it quickly disappears.The more beaten I am the more frozen I am. Got strangled again today, my body is covered in bruises all the time now, I can't walk properly. You'd think I'd be compelled to leave, wouldn't you?",1
I cant bring myself to care. My familiar comfort zone feels less scary than going out into the world to a shelter. I'm so fragile and anxious and honestly more afraid of the unknown than of staying here even if it kills me. Other people terrify me. I only feel comfortable around him. Convince me to leave please because I cant convince myself. Thank you.,1
"I don’t want to be chronic homeless. My kids Dad has completely abandoned us to just live his life with his crazy ass mom. I recently filed for custody although now I’m thinking of enlisting in the military. 
I want the benefits for my children. I want reinvention for myself. I don’t want to be a DV victim that waited for handouts and charity. I want to be a DV survivor that never fell victim again. 
Idk how to enlist and care for my children. I don’t have a lot of support in the way of childcare. An my children are toddlers.",1
I try not to post things about my husband my abuser but a person can only stay strong for so long. I've been dealing with it for 5 years I'm stronger than this I don't even know why I've put up with it for so long. Battered women's syndrome is real and it sucks. Mentally and physically I'm at my lowest. How do you overcome and become yourself again?,1
"I’m shaken with this fear I’ve tired praying away. 
I just want to be in peace. I want these flashbacks and nightmares to go away forever.
All I think about is me dead and my kids in danger. I’m fucking terrified… like he’s gonna come back and try again.
I’m tired of holding in these damn thoughts… I feel alone in a way… like no one understands.",1
"I am with this man for 12 years and he drinks everyday till the bottle of Jack is empty. He even mixed it with other alcohol. We have two kids. A girl (11) and a boy ( 10). 
He gets too wasted and become mean and unruly to me. One time he even locked me out and acted like nothing happenedthe next day. 
This time, he wants me stay at my friends and don’t want me home anymore. My friend’s son is my son bff too. I thought before school starts to go do something. 
I don’t know what to do. I am tired of all these.",1
"
I hate that I have thoughts about making things work with my abuser. It’s not okay. Things are beyond toxic it’s deadly. Yet the thoughts float into my head of how to make it work. 
I need therapy or something to refocus and redirect my thoughts and intentions. Any advice welcomed!",1
"This is my first post, he choked me, grabbed my chin, got arrested for domestic violence, had no contact order, being held on a bond… but by do I still feel embarrassed guilty lonely miss him",1
"I need some help... I am not going to lie, I am very nervous to even post due to my soon to be ex husband seems to find everything. Currently I am still living in the same home as him due to our 3 children and I know by experience what he will try and use against me... they always try and blame their actions and their thoughts on you. I need a portable voice recorder instead of using my phone. Its too difficult to start recording when he is around and chaos is happening. Plus the red light is always on when I am recording on my phone. Any ideas on what could be safe?",1
"Why is it that I spend every waking day hating my life because he has put me through so much in 18 years. I’m scared he will kill me one day and so I pray I can escape I pray he will leave. So today I explain to him one more time that I can’t handle doing this again, and he’s ok with separating. And inside I start feeling so lonely and scared. But I know separating is the best thing to do.. why do I feel so sad about it. He sounds like he may really leave or let me go however past experiences have shown me otherwise. I’m so afraid for what I future holds with or without him..",1
"I’ve completely left my abuser . No contact. And emergency protective order in place. He still has custody of our son we go back in September . How can I be able to show evidence of the trauma and abuse our son has witnessed in the house that I used to live with the abuse? There is a gaping hole in the wall beside my sons bedroom door, his dad put 2 huge white poster boards over the hole and hasn’t fixed it since it has happened. How would I be able to get law enforcement or the guardian adlitem to take a look at the wall?",1
"Got drunk and called my abuser. He said everything I wanted to hear. I'm still miserable though. Nothing he said changed anything. 
I'm still a single mom of two. I still struggle to work full time and be  mom and dad. I still feel like I'll never love or trust again. I still see dating as impossible. I still don't know how to make friends. I still see myself in all the ugly ways he made me look at myself. I still feel hopeless.",1
After dealing with his mess for over 2 years today was a wake up call for me. He got overly drunk got mad at everything I did or said punched the wall and then started to punch me in my head my face my stomach. If that wasn't good enough he grabbed a gun we had locked up and pulled it on me and said I better start listening to him or walk out of his house. So when he pulled the gun I called the cops and now he is in jail and I packed my stuff and walked away. I don't even know how to process anything that happened today.,1
I am out of my abuse situation and have been for 5 years. My daughter however has gotten into one and has custody of my two grandchildren who are under the age of ten. She keeps telling me that she is close to leaving her abuser and it doesn’t happen in front of the kids. I am so afraid for my grandkids. I want to go to counseling for myself but am afraid if I do they could take her children away if they feel they are in any danger. This is really eating away at me.,1
Hello I feel like an ass to even post again about this.nHe hurt me again today it's been months since he hit me this time inwas driving down the hwy. He screamed at me you smell back down there thats why I stop having sex with you so much your face is coved in black heads it's ugly. I like high society women you need to fix yourself. Cussed more all while punching me while I was trying to drive. I was and take care of myself every day I have a condition that messes up my hormones and other stuff. I do so much for him but when he drinks he is the ugliest asshole I ever seen. Idk what's wrong with me I try so hard every day to help him. My step dad passed away this week I wanted to get out the house and get my mind off it.,1
So I’m 20 weeks pregnant by my emotional abuser. What notes can I begin keeping that might help me when the baby is born for future custody issues? I’ve dealt with physical abuse before (different relationship) as well as emotional but not just emotional. I’m worried about the safety of my unborn child.,1
I am so scared. Left my abuser a week ago and he was pounding on my doors at 1:30 this morning. My son forgot to lock the back door and he walked in very drunk!! Luckily I was in the back of my house and was able to push him outside and lock the door. He eventually left but I'm terrified of him,1
"What do you do to help with depression? I'm really struggling today. I take meds but they don't seem to be working lately. My whole world has been turned upside down. I've lost everything, I'm hiding/ living in an apt with 3 windows and all I can see is privacy fence. There's nowhere to go sit outside and it's been raining most of the afternoon. I'm lonely and my family has all turned their backs on me because I refuse to let him get off with a slap on the wrist for putting a loaded gun to my head and beating me. Yesterday would have been our 26th wedding anniversary. My daughter is worried that he might commit suicide i wish she cared about the way I'm feeling right now.",1
"Hi everyone,
I believe someone in my life may be in serious danger. I need help. I know this may not be the right group but I’m desperate. What are the signs of a man who is capable of murdering his partner? Are there steps they follow? Please help. I need stories, advice, resources, web links, whatever I can get. I’m scared for her. She’s with a guy who has a history of physical violence (he knows martial arts) towards friends, family members (mostly his autistic brother), my friend (his partner), animals (he actually used to shoot and kill them with BB guns as a child and I know he’s abusive to their current animals and will throw and hit them), I think he’s even shown aggression and violence(?) to the baby they have together. He’s also sexually abused her for years and is addicted to pornography. I don’t know all of the details but she’s been telling me for years she feels like he might kill her some day. I just need help. I don’t know what to do. The police have never done anything to help in the past, and I’m scared that if she gets the courage to leave, it will end really badly. How do I help her leave him? Part of me is scared I’m just putting these thoughts in my head but I know some signs are there and I’m so scared for her",1
