Title,RN,MLP,SVM,NB
BagOfWords-no preprocess,0.7525000000000001,0.8099999999999999,0.7274999999999999,0.6725
BagOfWords-stop words removal,0.74,0.7775,0.7350000000000001,0.675
BagOfWords-Lemmatization,0.74,0.7975,0.7275,0.665
BagOfWords-Lemmatization + stop words removal,0.7449999999999999,0.7675000000000001,0.725,0.6625
tfidf-no preprocess,0.7649999999999999,0.8,0.805,0.6624999999999999
tfidf-stop words removal,0.7575,0.7825,0.8024999999999999,0.6700000000000002
tfidf-Lemmatization,0.7625,0.795,0.7975000000000001,0.6425000000000001
tfidf-Lemmatization + stop words removal,0.7350000000000001,0.775,0.7875,0.64
fastText-no preprocess,0.74,0.7725,0.7125000000000001,0.6624999999999999
fastText-stop words removal,0.7375,0.7725,0.7475,0.655
fastText-Lemmatization,0.7275,0.7925000000000001,0.7074999999999999,0.6725
fastText-Lemmatization + stop words removal,0.6975,0.775,0.7524999999999998,0.635
fastText+tfidf-no preprocess,0.745,0.805,0.795,0.6624999999999999
fastText+tfidf-stop words removal,0.75,0.8025,0.825,0.6624999999999999
fastText+tfidf-Lemmatization,0.7374999999999999,0.8074999999999999,0.7875,0.6624999999999999
fastText+tfidf-Lemmatization + stop words removal,0.765,0.8099999999999999,0.82,0.6624999999999999
doc2vec-no preprocess,0.7975,0.7975,0.8275,0.6449999999999999
doc2vec-stop words removal,0.8075000000000001,0.8024999999999999,0.8,0.6275000000000001
doc2vec-Lemmatization,0.765,0.7975,0.7899999999999999,0.655
doc2vec-Lemmatization + stop words removal,0.79,0.7925000000000001,0.7925,0.6075
doc2vec+tfidf-no preprocess,0.795,0.8025,0.8275,0.6624999999999999
doc2vec+tfidf-stop words removal,0.795,0.805,0.8025,0.6624999999999999
doc2vec+tfidf-Lemmatization,0.7675,0.8099999999999999,0.7899999999999999,0.6624999999999999
doc2vec+tfidf-Lemmatization + stop words removal,0.7775,0.8099999999999999,0.7975,0.6624999999999999
inferSent-no preprocess,0.7925000000000001,0.8150000000000001,0.8150000000000001,0.7050000000000001
inferSent-stop words removal,0.7949999999999999,0.8125,0.8225,0.7150000000000001
inferSent-Lemmatization,0.7875000000000001,0.8175000000000001,0.8150000000000001,0.6975
inferSent-Lemmatization + stop words removal,0.79,0.8074999999999999,0.8275,0.7300000000000001
inferSent+tfidf-no preprocess,0.7875000000000001,0.8325000000000001,0.8150000000000001,0.6624999999999999
inferSent+tfidf-stop words removal,0.7775000000000001,0.8275,0.82,0.6624999999999999
inferSent+tfidf-Lemmatization,0.7825000000000001,0.8424999999999999,0.8099999999999999,0.6624999999999999
inferSent+tfidf-Lemmatization + stop words removal,0.8,0.8275,0.825,0.6624999999999999
bert-miniLM-no preprocess,0.8300000000000001,0.8450000000000001,0.8524999999999998,0.805
bert-miniLM-stop words removal,0.795,0.7749999999999999,0.8175000000000001,0.765
bert-miniLM-Lemmatization,0.8300000000000001,0.8300000000000001,0.8425,0.7949999999999999
bert-miniLM-Lemmatization + stop words removal,0.805,0.7825,0.82,0.7675000000000001
bert-miniLM+tfidf-no preprocess,0.8275,0.845,0.8574999999999999,0.6624999999999999
bert-miniLM+tfidf-stop words removal,0.8125,0.8474999999999999,0.8375,0.6624999999999999
bert-miniLM+tfidf-Lemmatization,0.8274999999999999,0.8375,0.8524999999999998,0.6624999999999999
bert-miniLM+tfidf-Lemmatization + stop words removal,0.805,0.85,0.835,0.6624999999999999
bert-mpnet-no preprocess,0.8574999999999999,0.8574999999999999,0.8775000000000001,0.8474999999999999
bert-mpnet-stop words removal,0.7849999999999999,0.7899999999999999,0.8074999999999999,0.795
bert-mpnet-Lemmatization,0.8625,0.875,0.875,0.8400000000000001
bert-mpnet-Lemmatization + stop words removal,0.8,0.7875,0.8099999999999999,0.785
bert-miniLM+tfidf-no preprocess,0.8275,0.845,0.8574999999999999,0.6624999999999999
bert-miniLM+tfidf-stop words removal,0.8125,0.8474999999999999,0.8375,0.6624999999999999
bert-miniLM+tfidf-Lemmatization,0.8274999999999999,0.8375,0.8524999999999998,0.6624999999999999
bert-miniLM+tfidf-Lemmatization + stop words removal,0.805,0.85,0.835,0.6624999999999999
bert-roberta-no preprocess,0.8400000000000001,0.8474999999999999,0.8724999999999999,0.8275
bert-roberta-stop words removal,0.795,0.7975000000000001,0.835,0.79
bert-roberta-Lemmatization,0.8375,0.835,0.85,0.825
bert-roberta-Lemmatization + stop words removal,0.8025,0.795,0.8150000000000001,0.7849999999999999
bert-roberta+tfidf-no preprocess,0.8574999999999999,0.8575000000000002,0.8649999999999999,0.6624999999999999
bert-roberta+tfidf-stop words removal,0.8175000000000001,0.8424999999999999,0.835,0.6624999999999999
bert-roberta+tfidf-Lemmatization,0.8450000000000001,0.8574999999999999,0.865,0.6624999999999999
bert-roberta+tfidf-Lemmatization + stop words removal,0.8150000000000001,0.845,0.8274999999999999,0.6624999999999999
USE-no preprocess,0.845,0.835,0.8724999999999999,0.8675
USE-stop words removal,0.7899999999999999,0.7849999999999999,0.8150000000000001,0.7975
USE-Lemmatization,0.8550000000000001,0.8200000000000001,0.8700000000000001,0.8625
USE-Lemmatization + stop words removal,0.78,0.7775000000000001,0.8175000000000001,0.7899999999999999
USE+tfidf-no preprocess,0.8674999999999999,0.8675,0.8800000000000001,0.6624999999999999
USE+tfidf-stop words removal,0.8175000000000001,0.8324999999999999,0.8550000000000001,0.6624999999999999
USE+tfidf-Lemmatization,0.8574999999999999,0.865,0.885,0.6624999999999999
USE+tfidf-Lemmatization + stop words removal,0.7925,0.8275,0.8625,0.6624999999999999
