Title,RD,MLP,SVM
doc2vec-min preprocess,0.7975,0.7950000000000000,0.8125
doc2vec-Lemmatization,0.7850000000000000,0.8100000000000000,0.82
doc2vec+bagOfWords-min preprocess,0.7625,0.825,0.795
doc2vec+bagOfWords-Lemmatization,0.7975,0.825,0.8125
doc2vec+tfidf-min preprocess,0.7950000000000000,0.825,0.8100000000000000
doc2vec+tfidf-Lemmatization,0.7925000000000000,0.8225,0.8175000000000000
doc2vec+tfidf+bagOfWords-min preprocess,0.7700000000000000,0.8125,0.795
doc2vec+tfidf+bagOfWords-Lemmatization,0.8,0.8250000000000000,0.8125
inferSent-min preprocess,0.7775,0.8300000000000000,0.82
inferSent-Lemmatization,0.795,0.8175000000000000,0.8175000000000000
inferSent+bagOfWords-min preprocess,0.8125,0.825,0.7350000000000000
inferSent+bagOfWords-Lemmatization,0.7850000000000000,0.825,0.7350000000000000
inferSent+tfidf-min preprocess,0.8000000000000000,0.8325000000000000,0.8100000000000000
inferSent+tfidf-Lemmatization,0.7775,0.8275,0.8100000000000000
inferSent+tfidf+bagOfWords-min preprocess,0.7800000000000000,0.8325000000000000,0.7350000000000000
inferSent+tfidf+bagOfWords-Lemmatization,0.7650000000000000,0.835,0.7350000000000000
miniLM-min preprocess,0.8025,0.86,0.8475000000000000
miniLM-Lemmatization,0.8050000000000000,0.85,0.8375
miniLM+bagOfWords-min preprocess,0.825,0.8300000000000000,0.7275000000000000
miniLM+bagOfWords-Lemmatization,0.8325000000000000,0.8300000000000000,0.7275000000000000
miniLM+tfidf-min preprocess,0.8150000000000000,0.8400000000000000,0.8425
miniLM+tfidf-Lemmatization,0.8225,0.8425,0.8375
miniLM+tfidf+bagOfWords-min preprocess,0.825,0.8375,0.7275000000000000
miniLM+tfidf+bagOfWords-Lemmatization,0.8425000000000000,0.8325000000000000,0.7275000000000000
mpnet-min preprocess,0.8700000000000000,0.86,0.8875
mpnet-Lemmatization,0.865,0.8675,0.885
mpnet+bagOfWords-min preprocess,0.865,0.8450000000000000,0.73
mpnet+bagOfWords-Lemmatization,0.8550000000000000,0.8475000000000000,0.73
mpnet+tfidf-min preprocess,0.8525,0.89,0.8700000000000000
mpnet+tfidf-Lemmatization,0.8550000000000000,0.8800000000000000,0.885
mpnet+tfidf+bagOfWords-min preprocess,0.8550000000000000,0.8475000000000000,0.73
mpnet+tfidf+bagOfWords-Lemmatization,0.8575000000000000,0.8450000000000000,0.73
roberta-min preprocess,0.8725000000000000,0.85,0.89
roberta-Lemmatization,0.8525,0.8625,0.8875
roberta+bagOfWords-min preprocess,0.85,0.8375,0.7275000000000000
roberta+bagOfWords-Lemmatization,0.8475000000000000,0.835,0.7275000000000000
roberta+tfidf-min preprocess,0.8475000000000000,0.8650000000000000,0.8775000000000000
roberta+tfidf-Lemmatization,0.845,0.865,0.8775000000000000
roberta+tfidf+bagOfWords-min preprocess,0.8325000000000000,0.8450000000000000,0.7275000000000000
roberta+tfidf+bagOfWords-Lemmatization,0.8425000000000000,0.8450000000000000,0.7275000000000000
USE-min preprocess,0.8625,0.845,0.8850000000000000
USE-Lemmatization,0.8525,0.8275,0.8775000000000000
USE+bagOfWords-min preprocess,0.8575000000000000,0.8300000000000000,0.7275000000000000
USE+bagOfWords-Lemmatization,0.8575000000000000,0.8325000000000000,0.7275000000000000
USE+tfidf-min preprocess,0.865,0.8625,0.8725000000000000
USE+tfidf-Lemmatization,0.8725000000000000,0.865,0.8975
USE+tfidf+bagOfWords-min preprocess,0.86,0.835,0.7275000000000000
USE+tfidf+bagOfWords-Lemmatization,0.8550000000000000,0.835,0.7275000000000000
