,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
0,3,0,1,0,1,0,0,0,0,7,1,0,2,0,0,0,1
1,16,0,7,1,5,1,0,0,0,15,0,0,0,0,0,0,1
2,8,0,4,0,1,0,0,1,0,12,1,0,0,0,0,0,0
3,35,0,18,1,7,1,1,1,1,41,1,0,2,0,0,0,0
4,9,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1
5,15,1,3,3,10,1,0,0,0,7,0,1,0,1,0,0,0
6,27,0,10,0,7,3,1,0,0,39,2,0,0,0,0,0,0
7,57,0,24,4,41,1,0,1,0,73,4,0,7,5,0,1,0
8,1,0,2,0,1,0,0,0,0,5,2,0,0,0,0,0,0
9,9,0,4,0,1,3,0,0,1,18,0,0,1,2,0,0,1
10,16,0,5,1,4,0,0,0,1,16,0,0,1,0,0,1,1
11,32,0,11,1,8,5,0,2,2,34,4,1,2,0,0,0,1
12,11,0,1,0,4,0,0,0,0,4,0,0,0,1,0,0,1
13,32,0,12,2,9,4,0,3,1,37,1,4,1,3,0,1,0
14,8,0,5,1,3,1,0,0,0,11,0,0,0,1,0,1,1
15,7,1,0,0,1,1,0,0,1,6,0,0,1,3,0,0,0
16,18,0,14,1,9,2,0,0,0,22,2,0,0,1,0,0,0
17,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
18,21,0,12,0,6,2,0,0,6,28,1,0,6,1,0,0,1
19,19,0,14,0,10,4,0,0,0,30,0,0,1,3,0,0,0
20,32,0,10,0,18,2,1,1,0,45,5,0,0,3,0,0,1
21,17,0,1,0,7,1,0,1,1,14,1,0,0,0,0,0,1
22,28,1,17,6,16,2,0,0,1,41,1,1,7,1,0,0,0
23,17,0,6,0,6,1,0,0,0,13,1,0,1,5,0,0,0
24,9,0,3,1,3,0,0,0,0,7,0,0,0,0,0,0,1
25,12,0,9,1,4,0,0,1,0,22,1,0,0,1,0,1,0
26,5,0,5,1,3,0,0,0,1,10,1,0,0,1,0,1,1
27,5,0,4,0,1,1,0,0,0,7,0,0,0,0,0,0,1
28,24,0,12,0,10,0,0,0,2,18,2,0,5,0,0,0,0
29,15,0,11,2,7,0,0,0,0,20,2,0,0,3,0,0,0
30,12,0,3,1,4,1,0,0,0,13,1,0,4,2,0,1,1
31,12,0,3,2,2,0,0,0,1,11,3,0,0,0,0,0,1
32,4,0,2,1,1,1,0,0,0,6,0,0,0,0,0,0,1
33,16,0,7,0,1,2,0,0,0,25,1,3,1,2,0,0,1
34,26,0,7,2,7,4,0,0,0,22,1,3,2,0,0,0,1
35,23,1,8,2,6,1,1,0,0,26,0,0,0,1,0,1,1
36,3,0,1,0,4,1,0,0,0,6,1,0,0,0,0,0,0
37,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1
38,10,0,2,0,6,1,0,1,0,13,1,0,0,1,0,0,1
39,31,0,13,3,11,3,0,0,3,30,1,0,3,1,0,0,1
40,12,0,4,0,4,3,0,0,0,21,2,0,1,0,0,0,0
41,10,0,4,1,3,0,0,0,0,9,1,0,0,1,0,0,0
42,5,0,4,0,4,1,0,0,0,4,0,0,0,0,0,0,1
43,11,0,4,2,4,1,0,0,1,10,0,0,0,0,0,0,1
44,20,0,11,0,8,6,0,0,0,39,1,4,2,2,0,0,1
45,21,1,10,2,3,3,0,0,0,25,6,0,1,2,0,1,1
46,37,0,5,2,10,6,0,0,0,28,0,0,5,2,0,1,1
47,12,1,3,1,7,2,0,1,0,12,0,1,3,1,0,0,0
48,14,0,6,0,8,1,0,0,0,14,1,0,0,3,0,0,1
49,74,0,25,5,22,7,0,0,2,74,6,0,3,3,0,0,1
50,5,0,5,0,2,0,0,0,0,8,2,0,0,1,0,0,0
51,5,0,4,0,3,0,0,0,0,7,0,0,2,0,0,0,1
