,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Label
0,3,0,1,0,1,0,0,0,0,7,1,0,2,0,2,0,0,1
1,14,0,7,0,5,3,0,0,1,14,0,1,0,2,12,0,0,1
2,6,0,6,0,1,0,0,1,0,14,1,0,0,0,9,0,1,0
3,32,0,21,1,7,2,1,1,1,43,1,1,2,0,38,0,0,0
4,10,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,1
5,15,1,3,3,10,1,0,0,1,6,0,1,0,1,7,0,0,0
6,29,0,10,0,7,1,2,0,1,34,2,1,0,4,37,0,0,0
7,56,1,24,5,41,2,0,1,0,72,5,0,7,5,51,1,0,0
8,1,0,2,0,1,0,0,0,0,5,2,0,0,0,3,0,0,0
9,12,0,4,0,1,3,0,0,1,17,0,3,1,2,8,0,0,1
10,15,0,5,1,4,3,0,0,1,17,0,2,1,0,10,1,0,1
11,29,0,9,0,9,4,0,2,2,39,5,1,2,1,40,0,0,1
12,11,0,2,0,3,1,0,0,0,4,0,1,0,1,5,0,0,1
13,34,1,14,1,9,5,0,3,1,36,1,5,1,2,28,1,0,0
14,8,0,5,0,3,1,0,0,1,11,0,0,0,1,9,1,0,1
15,11,0,0,1,0,1,0,0,1,7,0,0,0,3,6,0,0,0
16,19,0,15,1,9,2,0,0,0,22,2,0,0,1,15,0,0,0
17,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1
18,21,0,12,0,6,2,0,0,5,29,1,0,6,2,36,0,0,1
19,22,0,12,0,11,5,0,0,0,26,0,0,1,11,21,0,0,0
20,31,0,10,0,17,3,0,2,0,45,5,0,0,4,39,0,0,1
21,17,0,1,0,7,3,0,1,1,12,1,4,0,0,5,0,0,1
22,39,1,20,4,16,7,0,0,1,39,1,11,8,2,43,0,1,0
23,18,0,6,0,6,0,0,0,0,14,1,0,1,4,12,0,0,0
24,8,0,4,1,3,0,0,0,0,7,0,0,0,0,9,0,0,1
25,14,0,10,1,5,2,0,1,0,23,1,0,0,1,14,0,0,0
26,8,0,5,1,3,0,0,0,1,9,1,0,0,1,7,1,0,1
27,5,0,4,0,1,1,0,0,0,7,0,0,0,0,3,0,0,1
