,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Label
0,8,0,1,2,3,3,0,6,0,7,0,0,8,2,0,2,1
1,26,0,5,14,8,9,5,9,0,14,0,2,27,0,0,3,1
2,10,0,5,10,6,4,3,10,0,13,0,5,15,0,0,1,0
3,44,0,20,16,13,19,14,12,1,38,1,13,44,1,0,7,0
4,10,0,1,2,2,2,3,2,0,3,0,2,7,0,0,1,1
5,21,1,5,14,15,3,9,5,0,5,0,2,24,2,0,0,0
6,45,3,13,17,10,22,5,9,1,34,2,12,40,6,0,6,0
7,84,0,28,75,70,26,21,50,0,72,5,9,104,5,0,15,0
8,2,0,2,3,1,1,1,1,0,5,2,0,1,0,0,0,0
9,13,0,2,10,3,5,2,3,1,19,0,3,17,0,0,4,1
10,17,0,4,7,7,3,6,5,0,17,0,5,25,0,0,1,1
11,47,0,9,22,17,16,8,16,2,34,4,8,53,3,0,5,1
12,12,0,1,4,4,1,3,4,1,3,0,1,12,1,0,0,1
13,57,0,15,34,19,10,19,21,1,30,1,19,46,2,0,4,0
14,13,0,6,8,6,1,0,6,1,11,0,4,13,2,0,1,1
15,10,0,0,4,4,2,2,3,3,6,0,2,9,3,0,1,0
16,19,0,16,17,14,10,9,13,0,23,1,4,14,0,0,1,0
17,2,0,0,0,0,1,0,1,0,4,0,0,2,0,0,0,1
18,37,0,14,17,14,9,9,18,4,24,1,7,37,0,0,2,1
19,28,0,14,17,11,11,5,11,0,27,0,4,27,4,0,5,0
20,52,0,9,26,31,10,13,24,0,43,5,7,47,8,0,3,1
21,24,0,1,2,10,10,8,8,1,11,1,6,26,0,0,6,1
22,41,0,16,28,39,9,10,21,2,34,1,6,59,0,0,3,0
23,23,0,7,9,9,8,10,1,0,15,1,3,21,1,0,0,0
24,9,0,2,8,6,5,5,5,1,9,0,1,8,2,0,1,1
25,18,0,10,16,13,1,4,13,0,19,2,4,23,2,0,2,0
26,8,0,5,4,4,5,2,5,1,10,1,1,11,0,0,1,1
27,7,0,3,3,5,3,1,1,0,5,0,1,7,0,0,1,1
28,31,0,14,21,13,7,10,13,2,16,2,2,38,1,0,3,0
29,27,0,12,14,14,10,14,8,0,18,2,5,25,5,0,2,0
30,23,0,2,11,7,6,5,3,0,10,1,1,30,2,0,4,1
31,16,0,3,7,6,4,3,4,1,10,2,2,16,0,0,1,1
32,8,0,1,5,0,4,0,5,0,6,0,1,8,0,0,2,1
33,36,3,6,16,7,8,8,16,1,23,1,9,31,1,0,4,1
34,31,0,7,9,10,9,8,10,0,20,1,9,40,0,0,4,1
35,34,1,5,11,20,4,9,9,1,22,0,4,28,1,0,2,1
36,4,0,2,2,8,5,1,4,0,7,1,0,6,0,0,0,0
37,2,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1
38,14,0,3,6,7,4,4,5,0,10,1,3,18,2,0,1,1
39,40,0,12,26,24,14,10,11,1,30,1,7,35,0,0,4,1
40,16,0,4,6,9,5,5,7,0,18,1,2,20,0,0,1,0
41,16,0,4,6,10,3,4,3,1,6,1,5,12,0,0,2,0
42,7,0,4,2,2,6,3,4,0,5,0,0,13,0,0,4,1
43,15,1,4,8,6,4,3,3,1,8,0,2,19,1,0,0,1
44,32,0,11,11,14,7,13,11,0,36,1,10,37,0,0,2,1
45,33,1,10,19,10,6,8,13,0,23,6,2,29,2,0,1,1
46,54,0,5,22,22,6,13,12,1,21,0,9,69,1,0,5,1
47,20,1,2,7,12,3,4,5,0,7,0,7,23,0,0,2,0
48,18,0,7,10,11,5,5,7,0,16,1,2,20,0,0,3,1
49,111,0,23,49,49,31,18,40,1,68,6,14,110,11,0,16,1
50,7,0,5,2,5,2,3,3,0,8,2,1,9,2,0,1,0
51,9,0,3,2,3,4,2,3,0,7,0,0,12,0,0,3,1
52,27,0,13,11,11,10,4,9,0,12,1,2,25,0,0,4,1
53,20,0,7,10,6,2,6,8,0,16,5,3,21,4,0,1,1
54,4,0,1,3,1,3,1,1,0,5,0,0,4,0,0,1,1
55,6,0,1,0,1,1,1,1,0,5,2,1,6,0,0,0,1
56,7,0,7,6,6,1,2,7,0,11,2,2,7,0,0,1,1
57,65,1,17,39,36,17,11,32,0,41,0,9,53,6,0,8,0
58,8,0,4,8,4,2,4,4,0,13,1,1,8,0,0,0,0
59,29,0,8,11,14,5,5,12,0,28,1,5,32,2,0,1,1
60,16,0,9,14,6,4,6,11,1,20,0,2,16,0,0,3,0
61,12,0,8,8,7,5,5,5,0,16,2,0,8,0,0,1,1
62,12,0,6,7,6,2,5,3,0,14,0,4,7,0,0,1,0
63,27,0,3,21,6,6,6,14,0,31,5,3,32,0,0,3,0
64,19,0,6,13,5,6,1,9,0,20,0,3,17,1,0,1,0
65,67,0,13,23,35,11,16,26,2,30,1,12,61,9,0,2,0
66,24,0,3,13,10,3,8,7,0,16,1,2,23,0,0,2,1
67,16,0,10,14,7,4,5,7,0,8,2,3,17,0,0,1,0
68,10,0,3,12,2,2,0,3,0,6,0,3,12,0,0,1,1
69,28,0,5,9,9,4,7,3,0,16,0,13,28,0,0,4,0
70,18,0,8,7,7,7,4,6,3,8,0,3,17,1,0,3,1
71,26,0,4,6,13,3,15,3,0,13,3,3,23,0,0,3,1
72,20,0,24,9,9,12,8,18,0,25,1,4,31,0,0,2,0
73,29,0,6,12,13,7,7,9,1,32,5,6,27,0,0,1,0
74,9,0,5,8,11,5,4,2,0,7,1,2,14,0,0,1,1
75,37,0,11,15,13,8,7,9,0,15,0,4,42,0,0,4,0
76,45,0,21,18,16,10,14,19,0,29,2,12,49,0,0,3,1
77,30,0,6,25,14,7,9,12,2,28,1,2,28,2,0,2,1
78,21,0,7,5,11,1,4,3,0,7,1,3,20,0,0,1,1
79,43,0,14,26,15,8,12,8,0,18,5,9,48,0,0,8,1
80,33,0,8,9,13,8,4,8,0,17,0,3,38,5,0,4,1
81,23,0,9,4,6,8,6,4,1,12,0,6,12,0,0,2,0
82,12,0,7,8,1,5,4,7,0,15,0,1,7,0,0,2,0
83,20,0,11,7,10,3,2,4,0,8,0,2,18,3,0,5,0
84,3,1,1,0,1,2,1,1,0,4,2,0,3,0,0,1,1
85,107,0,41,72,38,26,22,57,0,97,5,22,120,1,0,9,0
86,14,0,10,4,2,9,3,5,3,12,1,2,12,0,0,3,0
87,18,0,5,8,6,3,8,7,0,11,0,3,15,0,0,0,0
88,17,0,12,14,8,13,7,10,1,32,2,3,11,6,0,2,0
89,52,0,9,34,22,17,10,21,2,37,2,6,67,1,0,4,0
90,14,0,2,10,5,4,5,3,0,8,0,2,14,0,0,2,1
91,26,1,12,12,9,9,11,13,0,22,0,8,18,2,0,1,1
92,18,0,6,6,5,3,5,4,0,6,0,4,13,1,0,3,1
93,8,0,4,3,10,6,5,6,0,10,3,0,13,0,0,0,0
94,5,0,3,1,8,3,1,1,0,5,0,1,7,0,0,2,1
95,16,0,3,9,5,5,3,1,0,8,2,3,17,2,0,3,1
96,16,0,6,5,8,6,2,4,0,11,0,3,20,5,0,0,0
97,14,1,8,6,8,2,10,1,0,9,2,3,10,0,0,1,0
98,91,0,25,55,55,21,25,37,0,70,6,13,115,4,0,10,0
99,49,0,13,21,14,17,11,18,2,43,0,5,55,2,0,2,1
100,15,0,5,10,3,9,5,7,0,17,0,2,16,0,0,2,1
101,2,0,0,2,1,3,0,0,0,2,0,0,3,1,0,0,1
102,5,0,2,3,1,1,1,2,0,6,1,1,4,0,0,0,0
103,20,0,11,13,8,4,3,10,0,19,0,3,24,2,0,1,1
104,36,2,9,11,12,10,5,6,1,24,2,9,29,1,0,5,1
105,6,0,0,7,2,2,1,2,0,8,0,0,4,2,0,0,0
106,15,0,8,8,4,3,6,5,0,11,1,2,20,0,0,1,0
107,50,0,11,17,18,13,8,12,0,18,0,13,49,0,0,4,1
108,37,0,9,13,12,5,7,12,0,23,0,7,29,4,0,4,0
109,34,0,6,13,10,8,4,7,1,20,2,7,33,1,0,4,1
110,34,0,7,13,8,8,6,10,0,24,0,4,26,1,0,3,0
111,26,0,4,13,10,7,3,7,0,15,1,2,37,3,0,2,1
112,13,0,10,16,12,5,5,11,0,18,0,3,25,0,0,3,0
113,30,0,6,10,10,11,2,7,2,15,1,6,36,4,0,2,1
114,34,0,10,12,17,12,8,12,0,25,0,9,29,2,0,2,0
115,30,0,7,8,11,0,4,6,0,14,0,4,26,6,0,2,0
116,8,0,6,5,2,2,3,2,0,5,0,1,6,2,0,1,1
117,11,0,3,4,6,3,2,4,0,8,0,2,8,1,0,2,1
118,39,0,12,16,17,10,12,19,0,32,1,7,35,2,0,5,1
119,17,0,4,11,5,6,3,11,1,21,1,2,16,3,0,2,1
